supplier_id,invoice_amount,days_to_pay
1631,559.61,40.0
1449,483.41,35.0
1851,577.72,38.0
1535,682.76,47.0
1886,471.9,53.0
1088,471.9,46.0
1548,689.51,41.0
1853,592.09,55.0
1894,443.66,37.0
1506,565.11,50.0
1407,444.39,37.0
1270,444.11,44.0
1523,529.04,39.0
1493,270.41,39.0
1606,293.01,36.0
1447,432.53,53.0
1542,378.46,33.0
1948,537.71,33.0
1349,391.04,61.0
1744,330.52,50.0
1851,675.88,16.0
1327,472.91,34.0
1811,508.1,22.0
1285,329.03,30.0
1034,434.67,9.0
1532,513.31,39.0
1622,361.88,29.0
1487,545.08,41.0
1830,427.92,24.0
1859,465.0,41.0
1486,427.8,36.0
1144,722.27,55.0
1523,498.38,54.0
1755,373.07,48.0
1145,598.71,37.0
1750,353.5,60.0
1502,525.06,24.0
1603,264.84,26.0
1827,340.62,39.0
1834,523.62,63.0
1626,588.62,38.0
1526,520.56,38.0
1271,486.12,26.0
1533,463.87,49.0
1629,322.58,50.0
1880,413.62,48.0
1094,444.72,34.0
1446,626.85,33.0
1414,541.23,27.0
1256,288.44,41.0
1842,538.89,29.0
1261,453.79,28.0
1086,418.77,36.0
1904,573.4,35.0
1435,623.72,35.0
1975,611.75,45.0
1829,399.29,41.0
1569,462.89,37.0
1741,539.75,42.0
1107,617.07,30.0
1018,442.5,41.0
1364,477.72,42.0
1652,367.24,25.0
1378,356.46,50.0
1159,597.5,31.0
1099,662.75,41.0
1264,491.36,52.0
1749,620.42,49.0
1749,543.4,40.0
1048,422.59,36.0
1676,543.37,49.0
1798,684.56,47.0
1414,495.7,34.0
1058,687.76,32.0
1182,185.63,19.0
1658,598.63,42.0
1446,510.45,39.0
1897,464.12,51.0
1300,511.01,44.0
1607,261.49,53.0
1554,473.64,33.0
1353,542.85,51.0
1768,677.35,35.0
1212,437.81,48.0
1188,402.98,25.0
1642,439.79,42.0
1346,609.85,20.0
1811,539.45,37.0
1902,436.43,44.0
1800,561.59,35.0
1136,511.65,29.0
1029,616.24,48.0
1145,415.75,39.0
1823,460.68,35.0
1985,452.95,40.0
1467,324.38,66.0
1997,535.53,52.0
1616,531.33,52.0
1502,500.61,44.0
1798,471.85,42.0
1967,330.16,16.0
1190,449.52,33.0
1470,458.87,35.0
1689,403.73,21.0
1344,480.65,28.0
1750,548.49,20.0
1000,726.34,40.0
1109,520.95,48.0
1849,530.91,51.0
1786,491.07,44.0
1882,269.75,30.0
1893,496.82,21.0
1745,507.23,22.0
1063,795.59,27.0
1755,476.92,31.0
1052,536.19,38.0
1261,495.83,30.0
1528,359.76,43.0
1301,637.14,38.0
1967,590.23,40.0
1885,594.92,51.0
1233,390.87,28.0
1072,668.34,44.0
1356,331.78,40.0
1950,570.42,37.0
1602,762.85,49.0
1483,381.14,49.0
1005,432.04,31.0
1709,511.96,38.0
1876,439.58,43.0
1707,313.92,37.0
1981,508.23,46.0
1807,372.52,43.0
1858,556.83,58.0
1996,389.67,25.0
1833,685.99,39.0
1136,406.01,31.0
1778,461.35,46.0
1403,597.62,24.0
1627,352.3,43.0
1554,527.3,34.0
1742,656.86,33.0
1569,307.1,26.0
1205,522.16,35.0
1409,531.19,51.0
1805,593.82,40.0
1605,351.57,46.0
1035,341.55,57.0
1229,562.63,43.0
1226,535.64,34.0
1694,530.06,45.0
1261,541.57,35.0
1130,418.4,35.0
1576,527.87,25.0
1891,535.17,49.0
1447,414.28,36.0
1185,723.89,42.0
1628,556.86,30.0
1185,357.04,44.0
1273,578.79,32.0
1662,383.04,39.0
1351,594.45,49.0
1412,639.03,48.0
1150,401.52,40.0
1383,615.61,22.0
1035,549.53,70.0
1325,598.65,57.0
1464,727.62,47.0
1465,470.55,32.0
1094,409.55,39.0
1133,393.26,35.0
1161,402.1,53.0
1555,490.75,43.0
1299,540.94,32.0
1794,533.2,35.0
1355,599.26,51.0
1239,501.56,56.0
1563,674.42,55.0
1937,468.24,48.0
1792,826.42,37.0
1585,575.08,8.0
1806,397.14,43.0
1749,371.49,40.0
1166,557.9,41.0
1139,473.18,41.0
1138,585.68,27.0
1880,556.79,46.0
1234,491.26,46.0
1002,398.38,47.0
1255,318.22,49.0
1370,446.42,46.0
1277,602.77,36.0
1515,525.69,39.0
1903,350.51,41.0
1781,520.78,41.0
1211,546.24,50.0
1215,393.94,46.0
1269,518.45,61.0
1475,506.99,62.0
1527,362.84,41.0
1927,542.93,2.0
1063,567.29,52.0
1750,629.97,35.0
1459,626.46,32.0
1015,334.68,36.0
1563,387.46,36.0
1018,561.8,46.0
1324,561.65,24.0
1907,561.81,29.0
1092,962.33,43.0
1772,568.51,46.0
1809,636.27,46.0
1016,614.48,32.0
1622,578.17,30.0
1839,462.17,35.0
1871,591.08,42.0
1487,407.26,55.0
1093,471.58,20.0
1009,441.76,38.0
1723,509.82,27.0
1748,777.76,23.0
1765,275.93,50.0
1527,582.35,45.0
1488,306.47,44.0
1143,443.37,49.0
1553,630.67,35.0
1514,507.71,36.0
1918,370.67,62.0
1469,414.16,38.0
1376,581.55,47.0
1667,412.36,40.0
1493,525.98,22.0
1684,505.47,20.0
1483,421.81,34.0
1451,757.27,51.0
1997,576.07,48.0
1535,256.98,49.0
1786,522.37,30.0
1074,420.59,56.0
1039,602.29,30.0
1301,404.9,42.0
1551,486.23,40.0
1061,560.6,38.0
1749,603.89,53.0
1502,355.96,33.0
1998,459.86,27.0
1244,443.01,40.0
1017,421.6,36.0
1651,711.85,74.0
1397,548.6,47.0
1593,348.69,36.0
1188,610.14,29.0
1619,754.66,21.0
1745,623.9,30.0
1779,317.68,41.0
1103,441.89,54.0
1922,652.03,51.0
1645,415.08,42.0
1343,553.26,37.0
1370,592.96,43.0
1032,388.77,35.0
1748,492.86,57.0
1373,111.05,38.0
1847,377.07,39.0
1177,469.69,18.0
1011,350.27,38.0
1862,695.89,48.0
1952,328.38,29.0
1740,447.19,32.0
1820,515.69,48.0
1780,672.95,25.0
1889,327.7,51.0
1455,639.58,35.0
1869,501.23,36.0
1642,382.22,29.0
1248,555.45,44.0
1447,523.89,65.0
1979,427.97,48.0
1569,508.38,31.0
1003,453.76,51.0
1235,513.62,37.0
1172,579.46,54.0
1321,690.32,48.0
1370,351.46,11.0
1547,755.96,30.0
1790,265.75,49.0
1748,481.79,42.0
1786,570.6,30.0
1295,533.72,34.0
1839,425.28,21.0
1399,475.03,39.0
1057,440.84,62.0
1874,429.28,48.0
1529,601.95,62.0
1547,542.84,49.0
1407,416.85,50.0
1640,607.95,60.0
1512,536.88,44.0
1063,597.54,38.0
1573,575.56,50.0
1877,400.52,55.0
1419,432.78,35.0
1842,589.68,33.0
1145,573.24,41.0
1271,497.49,48.0
1016,514.08,48.0
1791,653.32,26.0
1097,429.01,59.0
1451,565.65,34.0
1738,475.74,37.0
1974,473.88,31.0
1897,631.85,67.0
1242,599.05,42.0
1478,597.62,31.0
1200,656.66,49.0
1905,502.52,48.0
1948,581.83,38.0
1472,462.77,48.0
1178,538.9,32.0
1507,484.38,35.0
1452,511.64,20.0
1269,571.42,27.0
1233,401.81,58.0
1623,751.09,56.0
1485,379.28,41.0
1999,354.3,57.0
1577,638.97,38.0
1337,595.0,38.0
1860,574.89,41.0
1948,575.4,39.0
1756,498.53,38.0
1756,392.33,51.0
1979,509.1,42.0
1447,418.74,47.0
1583,617.01,50.0
1356,482.35,44.0
1048,400.94,30.0
1495,461.43,26.0
1345,549.55,41.0
1701,432.35,38.0
1292,401.33,41.0
1688,529.24,40.0
1963,529.4,66.0
1672,439.17,27.0
1149,443.48,20.0
1581,527.85,43.0
1544,326.23,36.0
1795,331.1,43.0
1855,413.79,46.0
1259,474.39,53.0
1321,537.31,25.0
1076,677.04,34.0
1109,602.92,44.0
1816,480.81,48.0
1895,497.72,62.0
1650,379.7,50.0
1546,497.78,39.0
1422,465.36,31.0
1393,538.73,34.0
1234,400.73,34.0
1329,562.32,47.0
1711,683.93,43.0
1324,486.95,27.0
1150,548.21,36.0
1545,582.82,49.0
1635,451.85,44.0
1878,526.89,46.0
1031,501.51,44.0
1271,511.72,56.0
1835,407.24,42.0
1821,502.94,36.0
1635,559.76,31.0
1923,674.14,42.0
1367,615.11,16.0
1491,758.38,38.0
1315,407.92,38.0
1589,604.68,26.0
1587,522.0,31.0
1571,762.78,48.0
1596,403.0,42.0
1367,399.23,41.0
1079,428.07,43.0
1885,245.13,41.0
1171,436.91,52.0
1257,408.9,41.0
1278,518.05,25.0
1503,541.01,56.0
1732,725.14,44.0
1557,614.05,34.0
1490,430.77,27.0
1584,392.19,44.0
1565,559.03,39.0
1838,341.57,56.0
1732,719.78,37.0
1892,641.53,32.0
1336,443.7,49.0
1520,294.42,49.0
1325,662.46,42.0
1171,486.26,47.0
1083,648.54,40.0
1841,308.67,42.0
1840,428.07,52.0
1523,500.63,46.0
1480,505.64,38.0
1543,445.99,54.0
1417,574.74,16.0
1338,371.89,61.0
1800,482.91,23.0
1319,514.44,34.0
1303,561.73,40.0
1271,585.39,39.0
1689,365.04,50.0
1113,315.91,29.0
1406,653.32,43.0
1025,539.88,34.0
1236,410.18,43.0
1309,686.14,39.0
1683,513.88,41.0
1232,641.52,35.0
1548,508.1,35.0
1264,747.29,43.0
1989,710.64,49.0
1012,470.12,34.0
1495,616.59,31.0
1315,577.45,46.0
1617,664.24,40.0
1637,384.21,48.0
1847,582.33,31.0
1383,627.01,22.0
1641,288.95,35.0
1990,358.01,32.0
1315,255.29,39.0
1255,467.67,34.0
1440,586.11,47.0
1114,680.28,37.0
1298,508.89,42.0
1914,695.43,42.0
1123,334.39,42.0
1255,295.59,40.0
1650,493.33,45.0
1717,546.09,32.0
1046,496.08,54.0
1728,251.91,38.0
1830,489.31,27.0
1902,343.46,42.0
1462,580.36,31.0
1349,543.99,47.0
1122,387.21,62.0
1030,438.34,32.0
1983,372.89,43.0
1054,492.48,22.0
1152,614.62,45.0
1455,381.71,31.0
1285,560.49,34.0
1035,436.37,29.0
1817,404.86,47.0
1909,487.16,50.0
1796,375.77,40.0
1922,433.56,31.0
1884,356.25,56.0
1255,735.77,32.0
1177,504.23,18.0
1547,416.03,45.0
1253,525.68,29.0
