Annual Income,Loan Amount,Credit Score,Number of Loans,Employment Status,Employment Encoded,Missed Payments,Default
50960.57,12392.82,701,1,Employed,0,1,0
43340.83,11743.57,592,1,Employed,0,1,0
52772.26,15807.16,678,3,Unemployed,2,1,0
63276.36,18131.32,619,4,Unemployed,2,1,0
42190.16,14747.39,633,2,Employed,0,1,0
42190.36,16046.18,652,0,Unemployed,2,0,0
63950.55,11130.38,644,2,Unemployed,2,1,0
54209.22,12501.62,566,4,Employed,0,0,0
39366.31,17942.93,719,0,Self-Employed,1,1,1
51510.72,14106.85,706,4,Employed,0,0,0
39438.99,11031.88,642,0,Self-Employed,1,0,0
39411.24,12130.2,696,4,Unemployed,2,1,0
47903.55,16148.61,630,2,Self-Employed,1,0,0
22040.64,16504.91,600,0,Self-Employed,1,0,1
24300.99,8631.48,652,3,Self-Employed,1,2,0
38252.55,13450.37,591,1,Self-Employed,1,1,0
32846.03,11968.63,680,3,Employed,0,4,0
48770.97,11737.86,614,1,Unemployed,2,2,1
34103.71,17321.23,569,3,Self-Employed,1,0,1
28052.36,11049.85,468,3,Unemployed,2,1,0
62587.79,9697.69,643,4,Self-Employed,1,0,0
42290.68,8740.03,666,3,Employed,0,0,0
45810.34,11301.81,716,3,Self-Employed,1,0,0
27903.02,9059.01,563,3,Employed,0,0,0
38467.41,8540.87,700,2,Employed,0,0,0
46331.07,8440.12,625,1,Unemployed,2,0,0
31188.08,8677.83,646,0,Self-Employed,1,0,0
49508.38,8956.67,650,2,Self-Employed,1,4,0
37792.34,13596.21,649,0,Employed,0,3,0
41499.68,4160.07,548,3,Self-Employed,1,1,0
37779.52,9192.99,685,0,Employed,0,2,0
67227.34,11599.48,691,0,Self-Employed,1,0,0
44838.03,16594.5,697,3,Employed,0,1,0
32307.47,11016.29,674,1,Employed,0,3,0
54870.54,11386.71,639,2,Unemployed,2,1,0
30349.88,11648.21,576,3,Unemployed,2,0,0
47506.36,4705.25,672,3,Self-Employed,1,2,0
21483.96,14636.37,651,0,Unemployed,2,1,0
29061.77,14469.69,649,1,Unemployed,2,0,0
47362.33,15257.98,672,3,Self-Employed,1,0,0
53861.6,22023.39,647,1,Self-Employed,1,0,0
47056.42,6805.91,627,1,Unemployed,2,4,1
43612.22,6047.89,591,3,Employed,0,0,0
41386.76,14823.47,649,2,Employed,0,0,0
27257.74,10650.04,723,1,Employed,0,2,0
36361.87,8057.49,594,2,Employed,0,0,0
39472.33,10869.75,700,4,Self-Employed,1,3,0
57685.47,9526.63,685,0,Employed,0,2,0
49123.42,18899.11,564,2,Self-Employed,1,1,0
23843.52,21047.25,680,0,Self-Employed,1,0,1
48889.01,5457.75,650,4,Unemployed,2,1,0
40379.01,6093.8,645,3,Self-Employed,1,2,0
36876.94,8962.53,749,3,Unemployed,2,0,0
52340.12,9241.89,697,1,Employed,0,1,0
57371.99,8898.96,603,4,Self-Employed,1,1,0
56175.36,11223.06,681,0,Employed,0,1,0
34929.39,10212.66,604,1,Self-Employed,1,2,0
41289.45,6585.55,606,4,Self-Employed,1,2,0
48975.16,7892.77,658,2,Unemployed,2,1,0
56706.54,18185.36,708,3,Self-Employed,1,1,0
39249.91,10570.21,575,1,Self-Employed,1,3,1
42772.09,10365.48,624,0,Unemployed,2,0,0
31723.98,5918.25,708,0,Employed,0,1,0
30645.52,10147.13,602,1,Unemployed,2,4,1
54750.31,15843.61,651,2,Self-Employed,1,0,0
61274.88,14382.21,634,1,Self-Employed,1,1,0
44135.88,15244.4,713,0,Self-Employed,1,1,0
57042.39,7185.61,665,4,Employed,0,2,0
49339.63,7121.53,635,3,Self-Employed,1,0,0
37258.56,16533.74,608,1,Employed,0,2,1
49336.75,15305.1,755,4,Self-Employed,1,1,0
63456.44,10966.15,646,1,Employed,0,1,0
44570.09,15412.16,638,0,Self-Employed,1,0,0
63775.72,7188.01,674,2,Unemployed,2,1,0
13563.06,7022.13,685,3,Employed,0,0,0
54862.83,5530.16,579,3,Unemployed,2,1,0
46044.56,13445.88,640,1,Employed,0,0,0
41411.91,12866.87,596,2,Employed,0,3,1
46101.13,9910.33,621,1,Self-Employed,1,1,0
21149.17,8878.43,713,2,Employed,0,2,0
42363.94,21658.19,707,4,Employed,0,0,0
49285.35,10963.48,679,4,Employed,0,0,0
62734.73,17552.27,579,3,Unemployed,2,2,1
38780.76,11414.61,659,1,Self-Employed,1,1,0
35298.08,9997.15,621,0,Employed,0,1,0
38978.92,17666.64,699,0,Self-Employed,1,0,1
55984.83,15159.86,621,0,Self-Employed,1,0,0
48945.01,11903.56,608,2,Self-Employed,1,0,0
38642.88,16534.86,668,1,Self-Employed,1,1,1
51159.21,22081.23,710,3,Self-Employed,1,1,0
46164.93,9070.59,703,4,Unemployed,2,1,0
56623.74,13886.95,714,4,Employed,0,1,0
36575.36,10363.16,715,0,Employed,0,2,0
41068.05,8261.84,731,4,Unemployed,2,0,0
40294.7,8150.93,659,1,Unemployed,2,2,1
27437.82,18369.33,627,4,Employed,0,0,1
48553.44,4700.96,608,4,Employed,0,1,0
48132.66,14031.44,709,3,Self-Employed,1,1,0
45061.36,8699.03,641,2,Employed,0,0,0
42184.95,19089.98,604,0,Self-Employed,1,0,0
28015.55,10907.69,676,3,Unemployed,2,1,0
39952.26,10543.97,577,4,Self-Employed,1,1,0
40887.43,18278.04,595,0,Self-Employed,1,2,0
35372.67,15507.2,660,4,Employed,0,1,1
43064.57,14216.91,694,1,Unemployed,2,1,0
49848.61,15223.25,633,2,Unemployed,2,3,1
67634.23,7666.91,638,3,Unemployed,2,1,0
47094.93,14966.85,689,1,Unemployed,2,0,0
48090.6,11203.78,691,4,Unemployed,2,1,0
44106.65,13443.7,546,1,Employed,0,2,0
21974.75,13938.21,724,2,Employed,0,2,0
44681.83,7557.96,633,2,Self-Employed,1,1,0
45722.76,14375.29,612,4,Employed,0,0,0
74558.91,11254.57,626,0,Self-Employed,1,2,0
42691.67,7040.31,581,0,Employed,0,0,0
48618.57,11413.74,777,1,Employed,0,0,0
44583.46,12080.1,584,0,Self-Employed,1,1,0
30975.86,14374.53,575,0,Unemployed,2,1,0
58713.87,2446.84,636,2,Self-Employed,1,1,0
54023.2,13552.54,581,1,Employed,0,0,0
54492.38,9952.56,656,3,Unemployed,2,0,0
34087.35,15239.49,732,4,Unemployed,2,0,1
61833.53,11992.54,658,1,Self-Employed,1,0,0
28177.79,10666.47,666,4,Self-Employed,1,0,0
52042.29,11290.0,635,3,Employed,0,2,0
71285.47,13333.64,597,0,Unemployed,2,1,0
33113.56,15631.64,635,0,Self-Employed,1,0,1
38204.43,8435.55,702,1,Employed,0,2,0
46195.82,10625.36,717,0,Employed,0,0,0
38958.29,17877.38,652,3,Unemployed,2,3,1
26392.04,10555.55,693,4,Employed,0,0,0
45822.76,13469.0,611,1,Employed,0,0,0
32252.36,7063.23,619,1,Employed,0,2,0
50683.11,5141.97,569,2,Employed,0,2,0
33966.91,7839.18,705,1,Unemployed,2,0,0
63599.21,9240.43,621,4,Employed,0,0,0
35600.96,16159.64,583,4,Unemployed,2,0,1
41135.26,16598.11,675,3,Self-Employed,1,3,0
54762.21,4298.72,717,0,Employed,0,2,0
30229.63,9835.02,631,4,Self-Employed,1,2,0
47729.52,14791.16,561,3,Employed,0,1,0
60685.71,11578.59,633,4,Self-Employed,1,3,0
25710.2,18018.23,661,3,Unemployed,2,0,1
47215.61,14694.0,679,1,Employed,0,0,0
