Firm,Year,Profit,R&D_Spend
A,2004,131.31,12.75
A,2005,138.52,12.97
A,2006,128.19,11.65
A,2007,138.99,14.37
A,2008,130.41,11.3
A,2009,126.4,11.3
A,2010,123.25,12.36
A,2011,121.28,9.41
A,2012,127.46,10.48
A,2013,120.95,10.64
A,2014,134.59,14.2
A,2015,124.55,12.1
A,2016,128.4,11.18
A,2017,127.19,10.27
A,2018,126.58,11.1
A,2019,135.15,11.1
A,2020,125.72,11.98
A,2021,128.2,13.23
A,2022,122.94,12.31
A,2023,125.81,10.01
B,2004,158.45,15.11
B,2005,153.36,13.83
B,2006,146.58,11.78
B,2007,157.5,13.31
B,2008,149.24,14.52
B,2009,154.67,14.49
B,2010,154.91,12.98
B,2011,162.59,15.55
B,2012,150.62,12.74
B,2013,160.14,14.5
B,2014,152.46,13.28
B,2015,146.07,12.34
B,2016,163.47,15.22
B,2017,158.74,13.89
B,2018,153.78,14.54
B,2019,162.51,14.54
B,2020,161.12,13.95
B,2021,148.46,10.07
B,2022,154.13,14.13
B,2023,147.39,14.14
C,2004,180.6,15.67
C,2005,183.47,18.22
C,2006,174.96,14.79
C,2007,184.75,17.37
C,2008,180.07,15.21
C,2009,184.24,16.15
C,2010,176.06,14.95
C,2011,172.68,15.41
C,2012,182.15,16.44
C,2013,179.08,16.01
C,2014,173.01,13.88
C,2015,175.51,15.49
C,2016,181.01,15.76
C,2017,187.77,18.83
C,2018,180.67,16.39
C,2019,172.7,13.12
C,2020,190.08,16.09
C,2021,180.48,15.71
C,2022,175.2,15.95
C,2023,187.29,17.71
D,2004,204.33,19.19
D,2005,204.65,20.1
D,2006,215.96,18.88
D,2007,199.02,16.51
D,2008,203.36,18.15
D,2009,199.46,15.67
D,2010,202.91,16.41
D,2011,207.75,16.62
D,2012,200.77,16.83
D,2013,203.13,19.22
D,2014,211.08,18.34
D,2015,199.71,15.59
D,2016,209.1,18.39
D,2017,195.08,16.14
D,2018,208.15,18.78
D,2019,207.33,18.38
D,2020,203.38,16.98
D,2021,203.24,18.44
D,2022,213.89,20.8
D,2023,203.16,16.21
E,2004,229.49,18.54
E,2005,231.06,21.74
E,2006,235.26,21.45
E,2007,240.67,21.23
E,2008,226.06,19.63
E,2009,223.4,18.67
E,2010,231.08,19.88
E,2011,234.35,20.42
E,2012,235.86,20.02
E,2013,239.89,19.6
E,2014,228.92,20.94
E,2015,227.91,18.39
E,2016,232.02,19.66
E,2017,231.48,20.71
E,2018,220.77,18.73
E,2019,231.75,19.33
E,2020,225.82,20.32
E,2021,232.19,20.26
E,2022,227.3,18.67
E,2023,225.65,20.09
